ID,Start time,Completion time,Email,Name,Last modified time,"What year level are you in?
",How long does it take you to travel to school (one way)?,How do you usually get to school?,How many people are in your family (including yourself)?,Which type of learning activities do you tend to enjoy most?,Which language are you currently studying (or have studied the longest)?,What grade do you usually achieve overall?,When do you usually complete your homework?,How do you usually study?,"When preparing for assessments, you usually:",What type of homework do you find most useful?,"On average, how many hours per day do you spend on your phone?","On average, how many hours per week do you spend on social media/messages/gaming?",Do you think you spend more time on social media than you should?,How often do you use AI to help with homework?,What do you mainly use your device for during a school week?,How comfortable are you using new technology tools?,Would you trust Linewize with your Trinity password?,How many hours of sleep do you get on a typical school night?,What time of day are you most productive?,How many days per week do you participate in physical activity?,Which sport do you participate in after school? (Select all that apply),How many extracurricular commitments do you have per week?,"On weekends, you mostly spend your time:",How do you prefer to receive instructions?,"When working on a difficult problem, you usually:",How organised do you consider yourself?,"When given a long-term project, you usually:",Do you prefer structure or flexibility in tasks?,Group projects or solo work?,Where do you usually spend lunchtime?,Which co-curricular area interests you most?,Which house event do you enjoy the most?,Pineapple on pizza?,Dogs or cats?,What type of music do you listen to most?,Do you prefer working in silence or with background noise?,How many languages can you speak confidently?,Which of the following is a berry?,"What year level are you in?
2"
11,2/27/26 10:30:05,2/27/26 10:34:10,anonymous,,,Year 9,15–30 minutes,Car,4-5,Experiments and investigations,French,B,After school,Independently,Prepare gradually,All equally useful,0–2 hours,6–10 hours,Not sure,Rarely,Gaming,Neutral,No,7-8 hours,During school,1-2,Table Tennis;Badminton;,1-2,Gaming,Demonstration/example,Take a break and return later,Somewhat organised,Start early,Balanced,Group projects,Senior School Quad,Drama,Swimming,No,Dogs,Other,Quiet background noise,2,Banana,Year 9
12,2/27/26 10:30:03,2/27/26 10:34:25,anonymous,,,Year 9,15–30 minutes,Car,4-5,Business and real-world applications,Chinese,A,After school,Independently,Focus closer to the assessment date,All equally useful,0–2 hours,0–5 hours,No,Sometimes,School work,Neutral,No,7-8 hours,During school,1-2,Tennis;,1-2,Studying,Demonstration/example,Search online,Somewhat organised,Start early,Some structure,Depends on the task,Library,Sport,HPAF,No,Dogs,Rap/Hip-hop,Music,2,Strawberry,Year 9
13,2/27/26 10:30:25,2/27/26 10:34:37,anonymous,,,Year 9,15–30 minutes,Car,8+,Problem-solving and calculations,Chinese,B,Late at night,Independently,Do a quick review before the assessment,All equally useful,3–4 hours,6–10 hours,Yes,Sometimes,School work,Neutral,Not sure,7-8 hours,Late at night,3-4,Tennis;Table Tennis;,0,Gaming,Verbal explanation,Search online,Somewhat organised,Start close to the deadline,Some structure,Depends on the task,Library,Sport,Athletics Carnival,Yes,Dogs,Other,Music,2,Banana,Year 9
14,2/27/26 10:29:32,2/27/26 10:34:45,anonymous,,,Year 9,15–30 minutes,Car,4-5,Physical activity and movement,Not studying a language,A,During school,With friends,Do a quick review before the assessment,All equally useful,0–2 hours,0–5 hours,No,Very often,Entertainment,Very comfortable,No,6-7 hours,After school,7,Volleyball;Badminton;,7+,Sport,Figure it out myself,Search online,Somewhat organised,Start close to the deadline,Some structure,Depends on the task,Library,Sport,Athletics Carnival,Yes,Cats,Other,Complete silence,2,Strawberry,Year 9
15,2/27/26 10:29:06,2/27/26 10:34:48,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Physical activity and movement,Chinese,A,After school,Independently,Focus closer to the assessment date,Practice questions,0–2 hours,21–35 hours,Yes,Rarely,Gaming,Comfortable,No,6-7 hours,Late at night,5-6,Basketball;,3-4,Gaming,Demonstration/example,Keep trying independently,Somewhat organised,Start close to the deadline,Strong structure,Depends on the task,Senior School Quad,Sport,HPAF,No,Dogs,Other,Music,1,Banana,Year 9
16,2/27/26 10:29:03,2/27/26 10:34:48,anonymous,,,Year 9,31–60 minutes,Tram/Train,4-5,Technology and coding,Not studying a language,B,After school,With friends,Focus closer to the assessment date,All equally useful,3–4 hours,11–20 hours,No,Sometimes,School work,Very uncomfortable,No,7-8 hours,After school,5-6,Volleyball;Badminton;,1-2,Socialising,Written steps,Take a break and return later,Somewhat organised,Start close to the deadline,Balanced,Solo work,Library,Sport,None,No,Cats,Rap/Hip-hop,Music,2,Banana,Year 9
17,2/27/26 10:29:11,2/27/26 10:35:11,anonymous,,,Year 9,Under 15 minutes,Walk,8+,Experiments and investigations,Not studying a language,C,After school,Independently,Start early and plan,Project-based tasks,3–4 hours,0–5 hours,Yes,Sometimes,School work,Comfortable,No,7-8 hours,During school,3-4,Fencing;,1-2,Family time,Demonstration/example,Ask a teacher,Somewhat disorganised,Start immediately,Balanced,Depends on the task,Senior School Quad,Community/Outreach,None,No,Cats,Rock,Music,1,Strawberry,Year 9
18,2/27/26 10:30:51,2/27/26 10:35:19,anonymous,,,Year 9,15–30 minutes,Car,1-3,Physical activity and movement,French,B,After school,Independently,Prepare gradually,All equally useful,5–6 hours,11–20 hours,Yes,Sometimes,School work,Very comfortable,No,7-8 hours,Before school,3-4,Cricket;Soccer;,3-4,Gaming,Written steps,Ask a friend,Neutral,Start immediately,Flexible,Solo work,Oval,Sport,Athletics Carnival,No,Dogs,Rock,Music,2,Strawberry,Year 9
19,2/27/26 10:29:30,2/27/26 10:35:21,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Physical activity and movement,Not studying a language,B,After school,Independently,Prepare gradually,Practice questions,5–6 hours,11–20 hours,No,Often,School work,Comfortable,No,7-8 hours,Late at night,5-6,Cricket;Football;,3-4,Sport,Demonstration/example,Ask a friend,Somewhat organised,Start halfway,Balanced,Group projects,Oval,Sport,Cross Country,No,Dogs,Rock,Busy environment,1,Strawberry,Year 9
20,2/27/26 10:30:12,2/27/26 10:35:36,anonymous,,,Year 9,Under 15 minutes,Tram/Train,4-5,Problem-solving and calculations,Latin,A+,After school,With friends,Focus closer to the assessment date,Practice questions,3–4 hours,21–35 hours,No,Never,School work,Very comfortable,No,8-9 hours,During school,5-6,Hockey;Tennis;,5-6,Socialising,Verbal explanation,Take a break and return later,Somewhat organised,Start early,Some structure,Depends on the task,Library,Sport,None,No,Cats,Pop,Quiet background noise,1,Banana,Year 9
21,2/27/26 10:30:01,2/27/26 10:35:45,anonymous,,,Year 9,Under 15 minutes,Walk,4-5,Physical activity and movement,Not studying a language,B,After school,Independently,Focus closer to the assessment date,Revision summaries,3–4 hours,11–20 hours,Not sure,Often,Communication,Neutral,Not sure,9+ hours,During school,3-4,Cricket;Football;,1-2,Sport,Demonstration/example,Search online,Neutral,Start halfway,Balanced,Group projects,Senior School Quad,Sport,HPAF,No,Dogs,Other,Quiet background noise,1,Strawberry,Year 9
22,2/27/26 10:30:32,2/27/26 10:36:09,anonymous,,,Year 9,15–30 minutes,Walk,4-5,Physical activity and movement,Not studying a language,B,Late at night,Independently,Focus closer to the assessment date,Practice questions,0–2 hours,0–5 hours,No,Rarely,Communication,Neutral,Yes,7-8 hours,Late at night,5-6,Football;Cricket;,3-4,Sport,Verbal explanation,Search online,Neutral,Start halfway,Some structure,Group projects,Oval,Sport,Cross Country,Yes,Dogs,Rap/Hip-hop,Quiet background noise,1,Strawberry,Year 9
23,2/27/26 10:30:49,2/27/26 10:36:10,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Experiments and investigations,French,A,After school,Independently,Focus closer to the assessment date,Practice questions,3–4 hours,11–20 hours,Yes,Rarely,Communication,Very comfortable,No,8-9 hours,After school,5-6,Table Tennis;,1-2,Socialising,Demonstration/example,Take a break and return later,Somewhat organised,Start early,Balanced,Depends on the task,Oval,Drama,HPAF,No,Cats,Rap/Hip-hop,Quiet background noise,1,Banana,Year 9
24,2/27/26 10:30:29,2/27/26 10:36:22,anonymous,,,Year 9,15–30 minutes,Tram/Train,4-5,Problem-solving and calculations,German,A+,After school,Independently,Focus closer to the assessment date,Practice questions,0–2 hours,6–10 hours,No,Rarely,School work,Comfortable,No,8-9 hours,During school,5-6,Cross Country;,3-4,Sport,Figure it out myself,Keep trying independently,Somewhat organised,Start early,Balanced,Depends on the task,Library,Sport,None,No,Dogs,Rap/Hip-hop,Quiet background noise,1,Banana,Year 9
25,2/27/26 10:30:56,2/27/26 10:36:38,anonymous,,,Year 9,Under 15 minutes,Car,1-3,Technology and coding,Latin,A,After school,Independently,Prepare gradually,Project-based tasks,0–2 hours,6–10 hours,Yes,Rarely,School work,Comfortable,No,6-7 hours,During school,5-6,Tennis;Fencing;,1-2,Gaming,Video,Ask a teacher,Somewhat disorganised,Start early,Balanced,Depends on the task,Library,Music,None,No,Cats,Rap/Hip-hop,Music,1,Strawberry,Year 9
26,2/27/26 10:32:25,2/27/26 10:36:46,anonymous,,,Year 9,15–30 minutes,Tram/Train,4-5,Experiments and investigations,French,A,After school,Independently,Do a quick review before the assessment,All equally useful,0–2 hours,0–5 hours,Yes,Sometimes,Gaming,Neutral,No,8-9 hours,After school,3-4,Football;,7+,Sport,Demonstration/example,Ask a teacher,Neutral,Start halfway,Balanced,Solo work,Oval,Sport,Athletics Carnival,Yes,Dogs,Rock,Music,1,Banana,Year 9
27,2/27/26 10:33:54,2/27/26 10:37:08,anonymous,,,Year 9,15–30 minutes,Car,6-7,Physical activity and movement,French,B,After school,Independently,Start early and plan,Revision summaries,3–4 hours,6–10 hours,No,Rarely,Communication,Comfortable,No,9+ hours,Before school,7,Football;Touch Football;,5-6,Sport,Written steps,Ask a friend,Very organised,Start immediately,Strong structure,Group projects,Oval,Sport,Athletics Carnival,No,Dogs,Pop,Complete silence,2,Strawberry,Year 9
28,2/27/26 10:29:31,2/27/26 10:37:18,anonymous,,,Year 9,15–30 minutes,Tram/Train,4-5,Physical activity and movement,Not studying a language,B,After school,Independently,Prepare gradually,Reading,0–2 hours,6–10 hours,No,Rarely,Communication,Neutral,Not sure,7-8 hours,During school,5-6,Basketball;Football;,7+,Studying,Figure it out myself,Take a break and return later,Somewhat organised,Start immediately,Balanced,Depends on the task,Oval,Sport,Swimming,Yes,Dogs,Other,Complete silence,1,Strawberry,Year 9
29,2/27/26 10:31:47,2/27/26 10:37:19,anonymous,,,Year 9,15–30 minutes,Tram/Train,4-5,Business and real-world applications,French,B,After school,Independently,Prepare gradually,Project-based tasks,3–4 hours,21–35 hours,Yes,Rarely,School work,Neutral,No,7-8 hours,During school,3-4,Basketball;Soccer;Touch Football;,1-2,Sport,Demonstration/example,Ask a friend,Neutral,Start early,Balanced,Depends on the task,Oval,Sport,HPAF,No,Dogs,Rap/Hip-hop,Quiet background noise,1,Strawberry,Year 9
30,2/27/26 10:30:19,2/27/26 10:37:25,anonymous,,,Year 9,15–30 minutes,Bus,1-3,Physical activity and movement,German,B,Late at night,Independently,Do a quick review before the assessment,Project-based tasks,9+ hours,21–35 hours,No,Very often,Social media,Very comfortable,No,6-7 hours,After school,5-6,Archery;Basketball;Cricket;Competitive Swimming;Cross Country;Football;Hockey;Rugby;Soccer;Tennis;Touch Football;Volleyball;Fencing;Table Tennis;Cycling;Badminton;Squash;Rowing;,3-4,Sport,Figure it out myself,Search online,Very disorganised,Start close to the deadline,Strong structure,Depends on the task,Senior School Quad,Sport,Cross Country,No,Dogs,Other,Busy environment,1,Strawberry,Year 9
31,2/27/26 10:30:24,2/27/26 10:37:28,anonymous,,,Year 9,Under 15 minutes,Tram/Train,4-5,Physical activity and movement,French,C,After school,Independently,Do a quick review before the assessment,Practice questions,0–2 hours,11–20 hours,No,Rarely,School work,Slightly uncomfortable,No,8-9 hours,During school,7,Cycling;Basketball;Football;,3-4,Sport,Demonstration/example,Take a break and return later,Neutral,Start close to the deadline,Very flexible,Depends on the task,Oval,Sport,HPAF,No,Dogs,Rap/Hip-hop,Complete silence,1,Strawberry,Year 9
32,2/27/26 10:29:12,2/27/26 10:37:37,anonymous,,,Year 9,15–30 minutes,Car,4-5,Physical activity and movement,German,A,After school,Independently,Prepare gradually,Revision summaries,3–4 hours,21–35 hours,Yes,Sometimes,Social media,Comfortable,No,9+ hours,During school,5-6,Soccer;Rowing;,5-6,Gaming,Written steps,Ask a teacher,Very organised,Start early,Balanced,Group projects,Oval,Sport,HPAF,No,Dogs,Rock,Quiet background noise,1,Banana,Year 9
33,2/27/26 10:30:08,2/27/26 10:37:41,anonymous,,,Year 9,15–30 minutes,Car,4-5,Problem-solving and calculations,Latin,A+,After school,Independently,Do a quick review before the assessment,Revision summaries,0–2 hours,0–5 hours,Yes,Often,School work,Comfortable,No,8-9 hours,Late at night,5-6,Soccer;,5-6,Sport,Written steps,Keep trying independently,Neutral,Start close to the deadline,Strong structure,Solo work,Library,Sport,None,No,Cats,Pop,Quiet background noise,3,Strawberry,Year 9
34,2/27/26 10:31:28,2/27/26 10:37:43,anonymous,,,Year 9,15–30 minutes,Tram/Train,4-5,Experiments and investigations,Chinese,A,After school,With a tutor/teacher,Do a quick review before the assessment,All equally useful,3–4 hours,36+ hours,No,Rarely,Entertainment,Comfortable,No,7-8 hours,During school,7,Badminton;,0,Gaming,Demonstration/example,Search online,Somewhat organised,Start early,Flexible,Solo work,Library,Sport,None,Yes,Cats,Other,Complete silence,2,Strawberry,Year 9
35,2/27/26 10:33:47,2/27/26 10:37:44,anonymous,,,Year 9,15–30 minutes,Bus,8+,Experiments and investigations,Not studying a language,B,During school,Independently,Focus closer to the assessment date,All equally useful,3–4 hours,6–10 hours,No,Often,School work,Comfortable,No,6-7 hours,Late at night,5-6,Basketball;Football;,1-2,Socialising,Demonstration/example,Search online,Neutral,Start halfway,Flexible,Depends on the task,Library,Sport,Swimming,No,Dogs,R&B,Complete silence,1,Banana,Year 9
36,2/27/26 10:33:17,2/27/26 10:37:46,anonymous,,,Year 9,Under 15 minutes,Car,1-3,Business and real-world applications,Chinese,D or below,Before school,Independently,Focus closer to the assessment date,Practice questions,3–4 hours,21–35 hours,No,Very often,Gaming,Very comfortable,No,8-9 hours,Before school,3-4,Squash;,3-4,Gaming,Video,Search online,Very disorganised,Start close to the deadline,Very flexible,Group projects,Library,Sport,None,Yes,Cats,Rock,Complete silence,2,Strawberry,Year 9
37,2/27/26 10:30:24,2/27/26 10:37:58,anonymous,,,Year 9,31–60 minutes,Car,4-5,Problem-solving and calculations,Chinese,A+,After school,Independently,Focus closer to the assessment date,Practice questions,0–2 hours,6–10 hours,No,Rarely,School work,Very comfortable,No,7-8 hours,Late at night,7,Competitive Swimming;,1-2,Socialising,Demonstration/example,Keep trying independently,Neutral,Start close to the deadline,Strong structure,Solo work,Library,Sport,None,No,Dogs,Other,Music,2,Banana,Year 13
38,2/27/26 10:31:53,2/27/26 10:37:59,anonymous,,,Year 9,31–60 minutes,Bus,4-5,Problem-solving and calculations,Chinese,A+,After school,Independently,Prepare gradually,Practice questions,0–2 hours,11–20 hours,No,Sometimes,School work,Comfortable,No,7-8 hours,During school,3-4,Tennis;,3-4,Socialising,Demonstration/example,Take a break and return later,Neutral,Start halfway,Some structure,Solo work,Library,Clubs/Societies,None,Yes,Dogs,Other,Complete silence,1,Banana,Year 13
39,2/27/26 10:32:50,2/27/26 10:38:36,anonymous,,,Year 9,31–60 minutes,Tram/Train,6-7,Physical activity and movement,Chinese,A,During school,Independently,Focus closer to the assessment date,Revision summaries,3–4 hours,11–20 hours,Yes,Sometimes,Entertainment,Very comfortable,No,6-7 hours,After school,5-6,Tennis;,5-6,Creative hobbies,Demonstration/example,Search online,Somewhat organised,Start halfway,Very flexible,Depends on the task,Library,Sport,HPAF,No,Cats,Pop,Music,3,Banana,Year 9
40,2/27/26 10:30:05,2/27/26 10:38:38,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Physical activity and movement,Latin,A,After school,Independently,Focus closer to the assessment date,All equally useful,3–4 hours,6–10 hours,Yes,Sometimes,Social media,Very comfortable,No,6-7 hours,During school,5-6,Basketball;,7+,Creative hobbies,Demonstration/example,Keep trying independently,Somewhat organised,Start early,Some structure,Group projects,Clubs/Activities,Music,Athletics Carnival,Yes,Dogs,Rock,Quiet background noise,2,Strawberry,Year 9
41,2/27/26 10:33:55,2/27/26 10:38:51,anonymous,,,Year 9,31–60 minutes,Bus,4-5,Technology and coding,German,B,After school,With a tutor/teacher,Prepare gradually,Revision summaries,3–4 hours,0–5 hours,Not sure,Never,School work,Neutral,No,6-7 hours,During school,1-2,Soccer;,0,Creative hobbies,Written steps,Ask a teacher,Neutral,Start immediately,Balanced,Group projects,Library,Music,Swimming,No,Cats,Other,Quiet background noise,1,Banana,Year 9
42,2/27/26 10:30:13,2/27/26 10:39:10,anonymous,,,Year 9,Under 15 minutes,Walk,4-5,Technology and coding,French,A,After school,Independently,Focus closer to the assessment date,Project-based tasks,0–2 hours,11–20 hours,Yes,Sometimes,School work,Slightly uncomfortable,No,6-7 hours,During school,5-6,Tennis;Soccer;,5-6,Gaming,Demonstration/example,Ask a friend,Somewhat organised,Start early,Balanced,Depends on the task,Clubs/Activities,Music,HPAF,No,Cats,Other,Complete silence,1,Banana,Year 9
43,2/27/26 10:30:52,2/27/26 10:39:59,anonymous,,,Year 9,Under 15 minutes,Walk,4-5,Physical activity and movement,German,B,Late at night,With friends,Focus closer to the assessment date,Practice questions,0–2 hours,6–10 hours,Yes,Rarely,School work,Neutral,No,8-9 hours,After school,7,Basketball;Football;Touch Football;,3-4,Sport,Written steps,Ask a teacher,Somewhat disorganised,Start early,Some structure,Group projects,Oval,Sport,HPAF,Yes,Dogs,Rap/Hip-hop,Complete silence,1,Strawberry,Year 9
44,2/27/26 10:33:51,2/27/26 10:40:04,anonymous,,,Year 9,15–30 minutes,Car,4-5,Physical activity and movement,Not studying a language,C,Late at night,Independently,Do a quick review before the assessment,Project-based tasks,5–6 hours,36+ hours,No,Often,Social media,Comfortable,No,6-7 hours,During school,7,Cricket;Football;,7+,Socialising,Video,Search online,Somewhat disorganised,Start close to the deadline,Flexible,Group projects,Clubs/Activities,Music,HPAF,Yes,Dogs,Rock,Music,1,Strawberry,Year 9
45,2/27/26 10:30:56,2/27/26 10:40:09,anonymous,,,Year 9,31–60 minutes,Tram/Train,4-5,Physical activity and movement,German,A,After school,Independently,Focus closer to the assessment date,Practice questions,0–2 hours,0–5 hours,Yes,Often,School work,Neutral,Not sure,8-9 hours,During school,5-6,Basketball;,3-4,Socialising,Demonstration/example,Search online,Neutral,Start halfway,Strong structure,Solo work,Oval,Sport,None,No,Dogs,Pop,Complete silence,1,Strawberry,Year 9
46,2/27/26 10:33:20,2/27/26 10:40:12,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Physical activity and movement,Chinese,B,After school,Independently,Focus closer to the assessment date,All equally useful,3–4 hours,0–5 hours,No,Sometimes,Communication,Very comfortable,Yes,8-9 hours,During school,5-6,Cricket;Touch Football;Rugby;Football;Basketball;,7+,Sport,Written steps,Keep trying independently,Very organised,Start early,Balanced,Depends on the task,Oval,Music,HPAF,No,Dogs,Pop,Quiet background noise,1,Strawberry,Year 9
47,2/27/26 10:33:54,2/27/26 10:40:18,anonymous,,,Year 9,31–60 minutes,Tram/Train,4-5,Physical activity and movement,French,A,After school,Independently,Do a quick review before the assessment,All equally useful,0–2 hours,6–10 hours,No,Sometimes,Entertainment,Very comfortable,No,8-9 hours,After school,5-6,Cricket;Competitive Swimming;Soccer;,3-4,Gaming,Written steps,Search online,Somewhat disorganised,Start close to the deadline,Some structure,Depends on the task,Oval,Sport,HPAF,No,Cats,Rap/Hip-hop,Music,2,Banana,Year 9
48,2/27/26 10:33:53,2/27/26 10:40:22,anonymous,,,Year 9,31–60 minutes,Tram/Train,6-7,Physical activity and movement,French,B,After school,Independently,Focus closer to the assessment date,Practice questions,3–4 hours,21–35 hours,Yes,Sometimes,Social media,Neutral,No,8-9 hours,During school,5-6,Basketball;,0,Gaming,Written steps,Search online,Somewhat organised,Start early,Balanced,Depends on the task,Oval,Sport,Athletics Carnival,Yes,Dogs,Rap/Hip-hop,Quiet background noise,1,Not sure,Year 9
49,2/27/26 10:36:54,2/27/26 10:40:38,anonymous,,,Year 9,Under 15 minutes,Walk,6-7,Physical activity and movement,Not studying a language,C,After school,Independently,Do a quick review before the assessment,Practice questions,3–4 hours,11–20 hours,Not sure,Rarely,School work,Very comfortable,Yes,9+ hours,During school,5-6,Basketball;,3-4,Sport,Figure it out myself,Ask a friend,Somewhat disorganised,Start halfway,Some structure,Group projects,Oval,Sport,Swimming,No,Dogs,Other,Music,2,Strawberry,Year 9
50,2/27/26 10:34:00,2/27/26 10:40:46,anonymous,,,Year 9,31–60 minutes,Tram/Train,4-5,Physical activity and movement,German,A+,After school,Independently,Do a quick review before the assessment,Practice questions,3–4 hours,6–10 hours,No,Sometimes,Entertainment,Very comfortable,Yes,7-8 hours,During school,7,Basketball;Cycling;Squash;,3-4,Socialising,Demonstration/example,Ask a teacher,Somewhat organised,Start halfway,Balanced,Depends on the task,Library,Sport,Athletics Carnival,No,Dogs,Other,Quiet background noise,1,Banana,Year 9
51,2/27/26 10:31:08,2/27/26 10:40:53,anonymous,,,Year 9,15–30 minutes,Car,4-5,Problem-solving and calculations,Chinese,A,Late at night,Independently,Focus closer to the assessment date,Project-based tasks,0–2 hours,11–20 hours,No,Sometimes,Communication,Comfortable,No,Less than 6 hours,Late at night,3-4,Badminton;Table Tennis;,1-2,Family time,Written steps,Ask a friend,Somewhat disorganised,Start halfway,Some structure,Depends on the task,Senior School Quad,Music,Athletics Carnival,No,Cats,Other,Music,3,Banana,Year 9
52,2/27/26 10:36:13,2/27/26 10:41:25,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Reading and writing,Latin,B,After school,Independently,Prepare gradually,Practice questions,0–2 hours,11–20 hours,Yes,Sometimes,Entertainment,Very comfortable,No,8-9 hours,After school,5-6,Basketball;,3-4,Socialising,Demonstration/example,Search online,Neutral,Start early,Balanced,Group projects,Gym,Drama,HPAF,No,Dogs,R&B,Music,2,Strawberry,Year 9
